"site","scale","llF","llST","perm.llF","perm.llST","llF.ci1","llF.ci2","llST.ci1","llST.ci2","perm.llF.ci1","perm.llF.ci2","perm.llST.ci1","perm.llST.ci2"
"BCI",30.517578125,-5.05339921779977,-5.45334510214543,-4.79016714827832,-5.35928129087979,-11.5092008705955,-0.000518571336706856,-12.1029849443205,-0.282676876795982,-12.0683796667112,-0.000489401699017096,-12.7014798702314,-0.252181262388308
"BCI",61.03515625,-15.4758894330648,-15.9249738596808,-14.5835295689261,-14.4480039166645,-25.6112547484972,-5.09762241725283,-25.2176815621749,-5.47957382023879,-24.8232172553559,-4.8746688111027,-23.4517792891511,-4.90544933685773
"BCI",122.0703125,-33.0438320413254,-34.1497616525151,-32.852103547839,-31.9356516559366,-48.0882809601801,-18.5525431003568,-53.373853089368,-19.0635585485198,-53.7374772583933,-19.268515083827,-51.644166325528,-18.1900941070779
"BCI",244.140625,-61.2608585508477,-62.1003266360119,-64.2078779252774,-61.9854994337095,-78.9067032804657,-44.1844670904055,-77.4376300999804,-46.0655013408534,-81.2546412942387,-46.2737482792327,-77.1300329979543,-44.0537592807821
"BCI",488.28125,-106.822309155312,-110.169244820553,-118.825803456457,-114.747844727562,-139.415087381428,-87.0465550220924,-140.237590379762,-88.612672907735,-151.44482238473,-86.9287935630372,-146.403719474696,-82.5136023069587
"BCI",976.5625,-180.488328438689,-183.964669584534,-200.809754334624,-195.019013353681,-219.968872993231,-147.547041146926,-240.090342345346,-148.381866835428,-232.331228534627,-160.995703793748,-223.735373626999,-157.162758171303
"BCI",1953.125,-269.734546827349,-277.881353094746,-309.993718736025,-301.778801327493,-301.072013157944,-226.45544139704,-325.170576854861,-234.073081023227,-341.567109989865,-269.32353335766,-332.052099091438,-262.268133984093
"BCI",3906.25,-400.049010380583,-408.555231980038,-445.193815933045,-436.248032017988,-460.565356432305,-322.591143479058,-471.995632524584,-331.322102293535,-483.062588223133,-395.004570803081,-476.417542404665,-385.901756183389
"BCI",7812.5,-546.449647452051,-586.17300625388,-622.102942515767,-611.230161645135,-614.236559027481,-481.619445165919,-733.618643703191,-496.195762653572,-667.495753716828,-565.442860330557,-655.331056670025,-556.333722756598
"BCI",15625,-726.404384904031,-792.326507009731,-815.790851888529,-801.431668519869,-789.75236237687,-648.148167909806,-965.809760637113,-707.490404137445,-865.182985722197,-770.392409319201,-843.848135331867,-757.897938282493
