"site","scale","llF","llST","perm.llF","perm.llST"
"BCI",5e+05,-1978.18768058121,-1496.77958114986,-1978.18768058121,-1496.77958114986
"BCI",250000,-1641.81325371125,-1919.82042134765,-1719.43117631258,-1660.50421747078
"BCI",250000,-1696.02014548589,-1902.28219997564,-1738.12074227613,-1686.0920181422
"BCI",125000,-1386.64499847724,-1548.18738498074,-1487.7633227351,-1452.60327763943
"BCI",125000,-1439.56061211216,-1500.27900015433,-1478.08248778588,-1435.43459999795
"BCI",125000,-1430.11442212968,-1821.64929525078,-1483.26598442568,-1444.55294458347
"BCI",125000,-1391.09260897642,-1715.86930843756,-1494.75102262246,-1457.75894074021
"BCI",62500,-1128.20035388109,-1320.22014708639,-1238.6323959527,-1201.67403517653
"BCI",62500,-1165.17152275933,-1304.3476898798,-1242.9734538922,-1217.96400428739
"BCI",62500,-1201.69983281631,-1248.42492038303,-1262.24256106212,-1231.94772704243
"BCI",62500,-1136.2791659695,-1486.26784383269,-1262.89665121466,-1229.58612487745
"BCI",62500,-1074.81556794786,-1357.93256172968,-1234.02903735538,-1207.42278983298
"BCI",62500,-1175.0265135517,-1502.26069279756,-1250.01454325378,-1224.16202983156
"BCI",62500,-1175.40827428552,-1306.78620846965,-1271.8114077668,-1245.64744706905
"BCI",62500,-1214.92656497276,-1234.6337990753,-1252.3212790325,-1221.49852721925
"BCI",31250,-915.462511304418,-1048.98732704157,-1037.3136260306,-1017.54081003623
"BCI",31250,-908.325055569898,-1033.61420693702,-1015.35564284312,-995.034788201514
"BCI",31250,-934.564064079072,-1128.16918112665,-1003.9266855991,-983.992636382834
"BCI",31250,-961.512409733309,-975.825839257801,-1012.31409488809,-987.646929735043
"BCI",31250,-918.596953609235,-1064.57089872066,-1048.14076100409,-1025.6902896561
"BCI",31250,-983.489428333656,-1008.02609417062,-1072.675018212,-1053.46395359715
"BCI",31250,-908.542687706902,-958.203654574532,-997.127123185328,-973.214574796587
"BCI",31250,-874.34252250653,-1024.08443568936,-1023.63746724705,-1005.9270333913
"BCI",31250,-966.863095414188,-1095.72309272115,-1047.31502053969,-1025.71976477934
"BCI",31250,-925.483212465997,-955.945447602738,-1039.97538216204,-1021.0088697076
"BCI",31250,-948.354310529948,-1141.96666210178,-1010.2390742906,-987.558103931173
"BCI",31250,-990.739294942721,-1070.52237769723,-1024.47716991225,-1002.53007429157
"BCI",31250,-851.912396285499,-918.837090336778,-1025.75173643724,-1000.33528139956
"BCI",31250,-980.802581223816,-1257.56998752511,-1085.70273283481,-1071.9657734156
"BCI",31250,-949.281725388328,-1017.31304966614,-982.867600615436,-957.785325017457
"BCI",31250,-918.085127135496,-1105.95404546355,-1036.0898494569,-1012.20761626311
"BCI",15625,-650.384299504291,-735.010642218139,-809.992823358602,-801.99958682104
"BCI",15625,-751.462706030369,-774.410506635895,-826.663509356134,-810.757705225369
"BCI",15625,-675.909212972667,-782.944016648577,-793.868618850952,-778.803753223037
"BCI",15625,-790.540719067766,-793.37656354256,-813.098586199603,-799.118053938601
"BCI",15625,-702.39284825318,-1004.38445534164,-817.372614773421,-799.336274106098
"BCI",15625,-756.819482582532,-801.455336448841,-791.933595772518,-782.186278943761
"BCI",15625,-766.565344571616,-850.27913251276,-840.930394126934,-827.757304555039
"BCI",15625,-702.920969646202,-742.231890692105,-807.007366718696,-798.178936722864
"BCI",15625,-680.209373012352,-750.159755146185,-823.400287722601,-810.541164770367
"BCI",15625,-714.671453522744,-755.129227965752,-790.742114418567,-774.046411534927
"BCI",15625,-710.240785834301,-746.953884014388,-823.112605363623,-812.604943110936
"BCI",15625,-706.659266149556,-749.451981864195,-799.954602591614,-780.574020115663
"BCI",15625,-743.030863040418,-783.694654092655,-827.25392368722,-816.670598896139
"BCI",15625,-789.5234846279,-807.665643977096,-874.132165669993,-855.373687825069
"BCI",15625,-762.858821187872,-816.228026197391,-813.590256744872,-796.448327127955
"BCI",15625,-751.679619636782,-808.312121231647,-825.890694906983,-812.760793109359
