"site","scale","n1fish","n1obs","perm.n1fish","perm.n1obs","n1diff","perm.n1diff","n1fish.ci1","n1fish.ci2","n1obs.ci1","n1obs.ci2","perm.n1fish.ci1","perm.n1fish.ci2","perm.n1obs.ci1","perm.n1obs.ci2","n1diff.ci1","n1diff.ci2","perm.n1diff.ci1","perm.n1diff.ci2"
"BCI",30.517578125,6.25,6.21875,8,8.09375,0.03125,-0.09375,2.775,10.45,2.55,12,4.55,12,4.55,13,-2,1.225,-1,1
"BCI",61.03515625,9.6875,9.625,11.96875,12.4375,0.0625,-0.46875,5,16.225,4,16,6.55,19,6.55,20.45,-2,2.225,-3,1
"BCI",122.0703125,13.21875,14.5625,18.21875,20.03125,-1.34375,-1.8125,7,20.225,8.775,23.225,11.325,24.675,11.325,28.9,-5.225,2.225,-5,1
"BCI",244.140625,17.15625,19.65625,23.375,26.375,-2.5,-3,9.55,26.225,10.55,26.45,15,30.225,15.775,36.225,-7,2.225,-8.225,1
"BCI",488.28125,21.1875,25.96875,29.84375,35.84375,-4.78125,-6,14.875,27.225,14.875,37.125,23.55,34.225,26.775,43.225,-14.45,1.67499999999999,-10.225,0.449999999999996
"BCI",976.5625,26.4375,30.125,35.6875,41.0625,-3.6875,-5.375,19.55,36.675,20.65,38.9,31,41.45,30.775,52.675,-11.675,4,-12.45,1
"BCI",1953.125,28.96875,33.9375,38.46875,43.65625,-4.96875,-5.1875,23.1,34,26,43.675,34.775,43,32.325,55.45,-15,-0.775000000000002,-12.675,3.225
"BCI",3906.25,32.75,34.3125,40.40625,43.78125,-1.5625,-3.375,27,37.675,25.775,44.675,36,44,35.55,52.35,-9.9,6.45,-10.9,2.45
"BCI",7812.5,33.5625,32.34375,41.8125,43.46875,1.21875,-1.65625,28.775,40.45,24,41.7,38.775,44,37.55,51,-6.35,10.675,-8,4.225
"BCI",15625,34.5625,29.96875,41.4375,34.8125,4.59375,6.625,29,38.225,19.775,37.675,39.55,44,28,45,-3.45,14.225,-1.675,13
"BCI",31250,35.0625,25.875,40.3125,28,9.1875,12.3125,31.75,37.625,18,33.25,38.375,42,17.625,36.875,4,16.5,4.75,20.75
"BCI",62500,34.75,23.75,38.875,26.875,11,12,33,36.825,20,29.65,38.175,39,23.175,31,5.175,16.3,8,15.65
"BCI",125000,34.75,24.25,37.5,24.5,10.5,13,33.15,35.925,21,30.475,36.15,38,20.375,27.775,5.45,13.85,10.225,15.775
"BCI",250000,34.5,24.5,36,23.5,10,12.5,34.025,34.975,23.075,25.925,36,36,20.175,26.825,9.05,10.95,9.175,15.825
"BCI",5e+05,34,17,34,17,17,17,34,34,17,17,34,34,17,17,17,17,17,17
"PASO",30.517578125,16.75,16.8125,19.3125,19.40625,-0.0625,-0.09375,10,23.675,10,24.45,9.775,28.675,9.775,28.675,-1,1,-1,0.224999999999998
"PASO",61.03515625,25.4375,26.125,32.78125,32.875,-0.6875,-0.09375,14.1,39.225,15.325,40.225,18.775,53.125,20.55,52.8,-2.675,1.225,-2.225,1
"PASO",122.0703125,40.125,41.78125,55.25,55.1875,-1.65625,0.0625,28.1,48.225,30.875,51,37.875,76.025,38.65,77.8,-9.125,2,-1.225,2.225
"PASO",244.140625,58.375,61.09375,80.4375,82.34375,-2.71875,-1.90625,42.325,71,44.2,75,61.55,100.45,63,101.125,-9.8,2.225,-10,4
"PASO",488.28125,74.125,79,109.53125,112.3125,-4.875,-2.78125,60.775,90.7,63.425,96.125,91.775,130.675,92.775,137,-15.675,4.225,-10.45,4.225
"PASO",976.5625,94.65625,101.3125,133.09375,136.46875,-6.65625,-3.375,76.075,110.45,83.625,116.675,118.55,144.45,120.775,150.35,-19.225,4.67499999999999,-13,6
"PASO",1953.125,107.75,110.34375,149.125,146.0625,-2.59375,3.0625,87.975,127,91.55,125.45,136.775,156.9,126.875,162.225,-14.225,8.34999999999999,-11,13.225
"PASO",3906.25,117.3125,111.71875,154.65625,135.90625,5.59375,18.75,97.1,132.675,89.325,135.675,145.1,162.225,106.975,155.35,-12.225,20.675,2.975,35.925
"PASO",7812.5,124.15625,107.1875,152.75,120.40625,16.96875,32.34375,108.425,139.35,89,119.675,147.55,158.225,100.55,140.225,-2.45,31.15,16.55,48.9
"PASO",15625,123.5625,94.5625,145.21875,97.3125,29,47.90625,106.875,135.225,73.1,112.925,139.775,152.45,79.1,116.225,1,51.675,34.875,61.675
"PASO",31250,121.375,81.5,136.1875,78.625,39.875,57.5625,106.75,131,58.75,101,133,140.625,66.375,98.5,16.875,68.875,40.25,67.625
"PASO",62500,117.25,65.5,127.375,60.75,51.75,66.625,105.75,123,53.225,76.3,124.175,129,51.225,69.3,35.275,68.9,59.525,75.3
"PASO",125000,112.5,50.5,118,42,62,76,107.3,116.85,41.9,54,117.075,118.925,40.075,43.925,53.375,73.175,73.15,78.85
"PASO",250000,107,36,109,33.5,71,75.5,106.05,107.95,33.15,38.85,108.05,109.95,32.075,34.925,67.2,74.8,75.025,75.975
"PASO",5e+05,101,19,101,19,82,82,101,101,19,19,101,101,19,19,82,82,82,82
